N_unmapped	675472	675472	675472
N_multimapping	1389563	1389563	1389563
N_noFeature	607365	15016732	683711
N_ambiguous	1188214	67433	487085
DDX11L1	0	0	0
WASH7P	344	0	344
MIR6859-1	0	0	0
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4F5	0	0	0
LOC124903816	0	0	0
LOC124900384	5	0	5
LOC729737	4	0	4
LOC124903814	0	0	0
DDX11L17	0	0	0
WASH9P	81	0	81
MIR6859-2	0	0	0
LOC127239154	3	0	3
LOC124903815	0	0	0
LOC124900618	0	0	0
LOC112268260	0	0	0
OR4F29	0	0	0
LOC100132287	1	0	1
LOC124904706	0	0	0
LOC105378947	1	0	1
LOC101928626	0	0	0
MIR12136	2	2	0
OR4F16	1	0	1
LOC100288069	104	0	104
LINC01409	8	3	6
LOC124903817	1	0	1
FAM87B	5	5	0
LINC00115	32	1	33
LINC01128	117	0	118
LOC107984850	0	0	0
FAM41C	0	0	0
LOC284600	169	223	171
LINC02593	128	15	246
LOC107985728	145	8	227
SAMD11	1552	240	1783
NOC2L	2717	245	2942
KLHL17	431	12	419
PLEKHN1	84	5	99
PERM1	8	28	0
HES4	1562	5	1558
ISG15	24647	13	24635
AGRN	9435	3	9432
LOC100288175	75	12	115
LOC105378948	6	48	10
RNF223	58	0	58
C1orf159	528	0	528
LOC124903819	0	0	0
LOC124903820	0	0	0
LINC01342	0	0	0
MIR200BHG	0	0	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10-AS1	0	0	0
TTLL10	0	0	0
TNFRSF18	0	0	0
TNFRSF4	0	0	0
SDF4	4733	3	4730
B3GALT6	512	1	511
C1QTNF12	16	9	7
UBE2J2	669	1	668
LINC01786	20	0	20
SCNN1D	77	0	77
ACAP3	566	0	566
MIR6726	0	0	0
SNORD167	0	0	0
PUSL1	357	11	376
INTS11	1180	52	1158
MIR6727	0	0	0
CPTP	503	1	502
TAS1R3	11	2	9
DVL1	1457	3	1454
MIR6808	0	0	0
MXRA8	91	89	2
AURKAIP1	1429	0	1429
CCNL2	1820	1	1819
MRPL20-AS1	254	73	254
MRPL20	489	0	562
MRPL20-DT	75	0	75
ANKRD65	0	0	0
ANKRD65-AS1	0	0	0
TMEM278	0	0	0
LINC01770	0	0	0
LOC107985729	0	0	0
VWA1	0	0	0
ATAD3C	1	0	1
ATAD3B	615	1	614
ATAD3A	903	2	901
TMEM240	2	0	2
SSU72	1370	0	1370
SSU72-AS1	6	0	6
FNDC10	0	0	0
LOC105378586	1	0	1
MIB2	89	26	486
LOC124903821	3	426	0
MMP23B	7	0	7
CDK11B	643	5	638
SLC35E2B	750	16	734
MMP23A	0	0	0
CDK11A	250	1	249
SLC35E2A	215	4	211
LOC112268218	0	159	0
NADK	1659	5	1813
GNB1	1873	0	1874
GNB1-DT	5	1	5
LOC124903822	7	1	6
CALML6	2	0	2
TMEM52	2	0	2
CFAP74	3	0	3
LOC107984872	0	0	0
LOC105378589	0	0	0
GABRD	0	0	0
LOC105378590	0	0	0
PRKCZ	167	44	219
PRKCZ-DT	3	0	3
PRKCZ-AS1	4	4	1
FAAP20	238	69	294
LOC112268219	19	29	1
LOC105378593	2	5	9
LOC124903823	0	5	2
SKI	663	1	662
LOC124903824	0	0	0
MORN1	216	0	216
LOC100129534	85	0	85
RER1	1195	124	1382
PEX10	182	190	303
PLCH2	0	0	0
PANK4	0	0	0
HES5	0	0	0
TNFRSF14-AS1	0	0	0
TNFRSF14	0	0	0
LOC100996583	0	0	0
PRXL2B	0	0	0
MMEL1	0	0	0
MMEL1-AS1	0	0	0
TTC34	0	0	0
LOC105378602	0	0	0
LOC105378601	0	0	0
LOC112268220	0	0	0
LOC107985732	0	0	0
LOC105378600	0	0	0
LOC105378598	0	0	0
LOC107984904	0	0	0
LOC105378599	0	0	0
LOC124903825	0	0	0
LOC124903826	0	0	0
ACTRT2	0	0	0
LOC124903827	0	0	0
PRDM16-DT	0	0	0
PRDM16	1	0	1
MIR4251	0	0	0
LOC105378606	0	0	0
LOC107984909	0	0	0
LOC105378605	0	0	0
LOC124903828	0	0	0
LOC105378604	0	0	0
ARHGEF16	463	1	462
MEGF6	466	0	466
LOC105378608	2	0	2
MIR551A	0	0	0
TPRG1L	330	0	330
WRAP73	301	1	300
TP73	5	8	3
TP73-AS3	0	0	0
TP73-AS2	0	0	0
GFOD3P	279	0	285
CCDC27	0	0	0
SMIM1	15	0	15
LRRC47	783	10	773
CEP104	333	2	331
LOC124903829	3	0	3
DFFB	101	0	101
C1orf174	195	0	195
LINC01134	5	0	5
LINC01346	0	0	0
LINC01345	0	0	0
LINC02780	0	0	0
